id,nome,descricao,criado_em,atualizado_em
1,.38 SPL,,2025-10-21 10:47:09.246697,2025-10-21 13:47:09.248392
2,.38 TPC,,2025-10-21 14:10:36.340939,2025-10-21 17:10:36.342890
3,.22 LR,,2025-10-21 16:25:05.983767,2025-10-21 19:25:05.988282
5,.20 GA,,2025-10-24 10:09:29.848041,2025-10-24 13:09:29.851320
6,.12 GA,,2025-10-24 10:20:00.386788,2025-10-24 13:20:00.446350
7,.36 GA,,2025-10-24 10:49:27.162729,2025-10-24 13:49:27.167913
8,.28 GA,,2025-10-30 19:04:56.407670,2025-10-30 22:04:56.409157
9,.16 GA,"Um calibre clássico e equilibrado, intermediário entre o 12 e o 20.",2025-10-16 14:28:53.593675,2025-10-16 17:28:53.595809
11,.45 AUTO,"Calibre clássico de pistola, conhecido por seu alto poder de parada e uso em plataformas como a 1911.",2025-10-16 14:29:51.596917,2025-10-16 17:29:51.598581
12,.357 MAG,Revólveres e carabinas com excelente desempenho para defesa e caça.,2025-10-16 14:30:18.385152,2025-10-16 17:30:18.386441
10,.40 S&W,"Desenvolvida para o uso policial, excelente poder de parada.",2025-10-16 14:29:27.693841,2025-10-16 14:37:02.086289
14,.44 MAG,,2025-10-17 11:32:08.064658,2025-10-17 14:32:08.094934
16,.32,,2025-10-17 11:43:20.409567,2025-10-17 14:43:20.410942
17,.36,,2025-10-17 11:43:25.723078,2025-10-17 14:43:25.725369
18,.454 CASULL,,2025-10-17 11:49:43.526149,2025-10-17 14:49:43.527981
19,.556x45,,2025-10-17 12:43:19.134408,2025-10-17 15:43:19.137367
20,.300BLK,,2025-10-17 12:43:34.472485,2025-10-17 15:43:34.473227
21,.308 WIN,,2025-10-17 12:43:45.709675,2025-10-17 15:43:45.710917
22,".7,62x51",,2025-10-17 12:44:04.732391,2025-10-17 15:44:04.733932
23,".308WIN/.7,62x51",,2025-10-17 12:44:20.228981,2025-10-17 15:44:20.229615
24,.17 HMR,,2025-10-17 13:14:58.861163,2025-10-17 16:14:58.893585
25,.10MM,,2025-10-17 18:00:04.684990,2025-10-17 18:00:04.686519
26,.38 SPL / .357 MAG,,2025-10-17 18:10:22.457046,2025-10-17 18:10:22.457657
27,.22 LR / .22WMR,,2025-10-17 18:10:32.448842,2025-10-17 18:10:32.449375
28,.357 MAG / .9MM,,2025-10-17 18:10:44.848444,2025-10-17 18:10:44.849087
29,.38 SPL / .380 AUTO,,2025-10-17 18:32:49.085268,2025-10-17 18:32:49.085865
13,.380 Auto,,2025-11-04 16:00:49.594762,2025-11-04 19:00:49.595867
15,.22 WMR,,2025-11-05 14:14:04.047154,2025-11-05 17:14:04.047768
30,.38 SUPERAUTO,,2025-11-07 09:15:32.747188,2025-11-07 12:15:32.749040
31,.32 SW,,2025-11-07 09:18:40.939100,2025-11-07 12:18:40.940732
4,.9x19MM,,2025-10-23 16:40:41.796161,2025-11-07 09:40:59.278116
33,.44-40 WIN,,2025-11-07 21:39:56.777285,2025-11-07 21:39:56.777291
