id,venda_id,produto_nome,categoria,quantidade,valor_unitario,valor_total,sku,produto_id,item_estoque_id,arma_cliente_id
683,563,MUN CBC 9MM LUGER EXPO +P 135GR P.SHOCK BL C,Munição,30,15.88,476.40,,,,
684,564,MUN CBC 9MM LUGER EXPO +P 135GR P.SHOCK BL C,Munição,20,15.88,317.60,,,,
685,565,MUN CBC .40S&W ETPP 180GR BLIS C,Munição,10,10.64,106.40,,,,
686,566,MUN CBC .38SPL ETPP 158GR TREINA,Munição,100,6.11,611.00,,,,
687,566,MUN CAL .40 S&W LPC 165GR POLYMATCH CX50,Munição,50,6.50,325.00,,,,
688,567,MUN CBC 9MM LUGER ETOG 124GR,Munição,70,7.65,535.50,,,,
689,568,MUN CBC 9MM LUGER ETOG 124GR,Munição,50,7.65,382.50,,,,
690,569,MUN CBC 9MM LUGER ETOG 124GR,Munição,20,7.65,153.00,,,,
691,570,MUN CBC 9MM LUGER ETOG 124GR,Munição,10,7.65,76.50,,,,
692,571,MUN CBC 9MM LUGER ETOG 124GR,Munição,50,7.65,382.50,,,,
693,572,CART CBC 22WMR ETOG 40GR TARGET C,Munição,50,4.69,234.50,,,,
694,573,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,20,6.90,138.00,,,,
695,574,CART CBC 28/70 CH-T PLAST,Munição,25,6.89,172.25,,,,
696,575,CART CBC 28/70 CH-T PLAST,Munição,25,6.89,172.25,,,,
697,576,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
698,577,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
699,578,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,600,5.75,3450.00,,,,
700,579,MUN CBC 9MM LUGER ETOG 124GR,Munição,20,7.65,153.00,,,,
701,580,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,0.43,129.00,,,,
702,581,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,200,5.75,1150.00,,,,
703,582,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,100,1.71,171.00,,,,
704,582,CART CBC .22LR CHPO 33gr HUNTER HYPER,Munição,50,1.84,92.00,,,,
705,583,CART CBC 28/70 CH-T PLAST,Munição,50,6.89,344.50,,,,
706,584,MUN CBC 9MM LUGER EXPO +P 135GR P.SHOCK BL C,Munição,10,15.88,158.80,,,,
707,584,MUN CBC 9MM LUGER ETOG 124GR,Munição,10,7.65,76.50,,,,
708,585,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
709,586,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
710,587,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,600,0.56,336.00,,,,
711,588,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,1.49,74.50,,,,
712,588,MUN CBC 9MM LUGER ETOG 124GR,Munição,30,7.65,229.50,,,,
713,589,MUN CBC 9MM LUGER ETOG 124GR,Munição,10,7.65,76.50,,,,
714,590,BONÉ LEGIONÁRIO GALAPAGOS RESPONDER 2.0 CAQUI U,Produtos Simples,1,169.00,169.00,,,,
715,590,BONÉ LEGIONÁRIO GALAPAGOS RESPONDER 2.0 VERDE U,Produtos Simples,1,169.00,169.00,,,,
716,591,MUN CAL .40 S&W LPC 165GR POLYMATCH CX50,Munição,150,6.50,975.00,,,,
717,592,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,100,5.85,585.00,,,,
718,593,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,1200,1.12,1344.00,,,,
719,594,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
720,595,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,600,1.12,672.00,,,,
721,596,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,0.40,120.00,,,,
722,597,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
723,598,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
724,598,MUN CBC 9MM LUGER EXPO +P 135GR P.SHOCK BL C,Munição,10,15.88,158.80,,,,
725,598,MUN CBC 9MM LUGER ETOG 124GR,Munição,20,7.65,153.00,,,,
726,599,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
727,600,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
728,601,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
729,602,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
730,603,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,1500,0.49,735.00,,,,
731,604,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
732,604,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
733,605,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
734,606,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,50,6.90,345.00,,,,
735,607,MUN CBC 38SPL EXPO 158GR BLST C,Munição,10,11.75,117.50,,,,
736,608,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
737,609,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,50,6.90,345.00,,,,
738,610,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,1200,1.12,1344.00,,,,
739,611,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,600,0.40,240.00,,,,
740,612,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,600,1.12,672.00,,,,
741,613,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
742,613,CART CBC .22LR CHOG 40GR TARGET 300 C,Munição,300,1.12,336.00,,,,
743,615,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
744,616,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,150,0.71,106.50,,,,
745,616,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,0.49,24.50,,,,
746,616,CART CBC .22LR CHPO 33gr HUNTER HYPER,Munição,50,0.84,42.00,,,,
747,617,KIT LIMPEZA ARMA CURTA CAL.380/.38/.9MM/.357,Produtos Simples,50,99.90,4995.00,,,,
748,618,MUN CCI 17HMR POLY TIP 17GR,Munição,100,8.30,830.00,,,,
749,619,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
750,620,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
751,621,MUN CBC .45AUTO ETOG 230GR BLIS C,Munição,50,11.65,582.50,,,,
752,622,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,1.49,74.50,,,,
753,623,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,20,6.90,138.00,,,,
754,624,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,20,6.90,138.00,,,,
755,625,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
756,626,CART CBC .22LR CHOG 40GR TARGET C,Munição,100,1.49,149.00,,,,
757,627,MUN CBC 9MM LUGER ETOG 124GR,Munição,10,7.65,76.50,,,,
758,628,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,150,5.85,877.50,,,,
759,628,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,10,15.53,155.30,,,,
760,629,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,50,1.71,85.50,,,,
