tabela,linhas_origem,inseridos,ignorados,erros,chave_usada
tipo_produto,12,6,6,0,pk:id
marca_produto,25,13,12,0,pk:id
calibre_produto,34,5,29,0,pk:id
categoria_produto,41,35,6,0,pk:id
funcionamento_produto,2,0,2,0,pk:id
clientes,901,15,886,0,business:documento
clientes_enderecos,1200,0,279,921,pk:id
clientes_contatos,2247,0,550,1697,pk:id
produtos,342,154,188,0,business:codigo
documentos,7,0,1,6,pk:id
vendas,592,0,1,591,pk:id
itens_venda,722,0,0,722,pk:id
pedido_compra,6,0,0,6,pk:id
item_pedido,31,0,0,31,pk:id
notificacao,3,0,3,0,pk:id
comunicacoes,1,0,1,0,pk:id
alembic_version,1,1,0,0,pk:version_num
armas,5,0,0,5,pk:id
configuracoes,27,0,3,24,pk:id
processos,1,0,1,0,pk:id
produto_historico,37809,0,5,37804,pk:id
taxas,14,1,13,0,pk:id
users,2,2,0,0,pk:id
