id,nome,descricao,criado_em,atualizado_em
1,Arma de Fogo,,2025-10-21 10:47:17.611565,2025-10-21 13:47:17.625146
3,Munição,,2025-10-30 19:03:21.352450,2025-10-30 22:03:21.358848
5,PCE,,2025-10-30 19:36:07.018123,2025-10-30 22:36:07.018751
6,Não Controlado,,2025-10-30 19:40:03.878220,2025-10-30 22:40:03.879259
8,Airsoft,,2025-10-16 16:27:06.949909,2025-10-16 19:27:06.950878
9,Arma de Pressão,,2025-10-16 16:27:22.654634,2025-10-16 19:27:22.662398
11,Acessório,,2025-10-16 16:27:57.658228,2025-10-16 19:27:57.660788
12,Peças / Componentes,,2025-10-16 16:28:07.290207,2025-10-16 19:28:07.290806
13,Outros,,2025-10-16 16:28:16.098157,2025-10-16 19:28:16.101063
14,Carregador,,2025-10-16 16:35:28.983956,2025-10-16 19:35:29.013979
