tabela,linhas_origem,inseridos,ignorados,erros,chave_usada,colunas_usadas
tipo_produto,9,9,0,0,pk:id,"atualizado_em,criado_em,descricao,id,nome"
marca_produto,13,7,6,0,pk:id,"atualizado_em,criado_em,descricao,id,nome"
calibre_produto,29,22,7,0,pk:id,"atualizado_em,criado_em,descricao,id,nome"
categoria_produto,9,4,5,0,pk:id,"atualizado_em,criado_em,descricao,id,nome,pai_id"
funcionamento_produto,3,0,3,0,pk:id,"atualizado_em,criado_em,descricao,id,nome"
clientes,886,884,2,0,business:documento,"apelido,atirador_n1,atirador_n2,atirador_n3,bombeiro,cac,cnh,cr,cr_emissor,created_at,data_nascimento,data_validade_cr,documento,escolaridade,estado_civil,filiado,iat,id,inscricao_estadual,inscricao_municipal,matricula,militar,nacionalidade,naturalidade,nome,nome_mae,nome_pai,policial,profissao,psicologo,razao_social,rg,rg_emissor,sexo,sigma,sinarm,updated_at"
clientes_enderecos,513,510,0,3,pk:id,"bairro,cep,cidade,cliente_id,complemento,created_at,estado,id,logradouro,numero,tipo,updated_at"
clientes_contatos,1774,1769,1,4,pk:id,"cliente_id,created_at,id,tipo,updated_at,valor"
produtos,215,15,14,186,business:codigo,"atualizado_em,calibre,calibre_id,categoria_id,codigo,criado_em,custo_total,desconto_fornecedor,descricao,difal,frete,funcionamento_id,id,imposto_venda,ipi,ipi_tipo,lucro_alvo,lucro_liquido_real,marca,marca_id,margem,nome,preco_a_vista,preco_final,preco_fornecedor,tipo,tipo_id"
documentos,2,1,0,1,pk:id,"caminho_arquivo,categoria,cliente_id,created_at,data_emissao,data_upload,data_validade,emissor,id,mime_type,nome_original,numero_documento,observacoes,tipo,updated_at,validade_indeterminada"
vendas,1,0,1,0,pk:id,"cliente_id,created_at,data_abertura,data_fechamento,data_quitacao,id,nf_numero,nf_valor,status,status_financeiro,teve_devolucao,updated_at,valor_total,vendedor"
itens_venda,0,0,0,0,pk:id,"categoria,id,produto_nome,quantidade,valor_total,valor_unitario,venda_id"
pedido_compra,1,0,1,0,pk:id,"cond_pagto,data_pedido,fornecedor_id,id,modo_desconto,numero,percentual_armas,percentual_municoes,percentual_unico"
item_pedido,3,0,3,0,pk:id,"codigo,descricao,id,pedido_id,quantidade,valor_unitario"
notificacao,4,3,0,1,pk:id,"cliente_id,data_envio,erro,id,meio,mensagem,nivel,status,tipo"
comunicacoes,2,1,0,1,pk:id,"assunto,cliente_id,data,id,mensagem,tipo"
alembic_version,1,0,1,0,pk:version_num,version_num
configuracoes,3,0,3,0,pk:id,"chave,id,valor"
taxas,13,0,13,0,pk:id,"id,juros,numero_parcelas"
users,1,1,0,0,pk:id,"id,password_hash,username"
armas,0,0,0,0,pk:id,"calibre,caminho_craf,categoria_adquirente,cliente_id,created_at,data_aquisicao,data_validade_craf,emissor_craf,funcionamento,id,marca,modelo,numero_serie,numero_sigma,tipo,updated_at,validade_indeterminada"
processos,1,1,0,0,pk:id,"cliente_id,data,descricao,id,status,tipo"
produto_historico,5,0,5,0,pk:id,"campo,data_modificacao,id,produto_id,usuario_id,usuario_nome,valor_antigo,valor_novo"
