row_json
"{""atualizado_em"": ""2026-02-17T20:51:10.187029"", ""criado_em"": ""2025-10-21T10:47:01.148576"", ""descricao"": null, ""id"": 1, ""nome"": ""Taurus""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187051"", ""criado_em"": ""2025-10-21T16:24:58.863014"", ""descricao"": null, ""id"": 2, ""nome"": ""Browning""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187057"", ""criado_em"": ""2025-10-22T11:06:14.018020"", ""descricao"": null, ""id"": 3, ""nome"": ""CBC""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187060"", ""criado_em"": ""2025-10-24T10:09:17.680464"", ""descricao"": null, ""id"": 4, ""nome"": ""Boito""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187064"", ""criado_em"": ""2025-10-28T14:44:08.343744"", ""descricao"": null, ""id"": 5, ""nome"": ""Fire Eagle""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187066"", ""criado_em"": ""2025-10-30T19:41:42.324498"", ""descricao"": null, ""id"": 6, ""nome"": ""Richter Táticos""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187069"", ""criado_em"": ""2025-11-03T20:07:23.983466"", ""descricao"": null, ""id"": 7, ""nome"": ""Springfield""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187072"", ""criado_em"": ""2025-10-16T14:32:32.683179"", ""descricao"": ""Fabricante de armas de fogo da Eslovênia, conhecida por suas pistolas de alta qualidade e design moderno, como a linha Delta."", ""id"": 8, ""nome"": ""Arex""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187074"", ""criado_em"": ""2025-10-16T16:28:30.550156"", ""descricao"": ""Tradicional marca brasileira, atualmente parte do grupo Taurus, famosa por seus revólveres e pelas clássicas carabinas \""Puma\""."", ""id"": 9, ""nome"": ""Rossi""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187077"", ""criado_em"": ""2025-10-16T16:28:41.567933"", ""descricao"": ""Empresa turca, uma das líderes mundiais na fabricação de carabinas de pressão e espingardas, conhecida pela potência e robustez"", ""id"": 11, ""nome"": ""Hatsan""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187079"", ""criado_em"": ""2025-10-16T16:40:11.857324"", ""descricao"": ""Fabricante italiana, líder mundial na produção de carregadores de alta qualidade para as principais marcas de pistolas do mercado."", ""id"": 12, ""nome"": ""MEC-GAR""}"
"{""atualizado_em"": ""2026-02-17T20:51:10.187085"", ""criado_em"": ""2025-11-07T09:04:43.464048"", ""descricao"": null, ""id"": 15, ""nome"": ""Fiocchi""}"
